world_id,Location,LocationID,Members,Activity,pvp,high_risk,leagues,deadman,skill_total
301,United States (east),1,False,Trade - Free,False,False,False,False,
302,United Kingdom,2,True,Trade - Members,False,False,False,False,
303,Germany,3,True,,False,False,False,False,
304,Germany,3,True,Trouble Brewing,False,False,False,False,
305,United States (east),1,True,Falador Party Room,False,False,False,False,
306,United States (west),4,True,Barbarian Assault,False,False,False,False,
307,United States (west),4,True,Wintertodt,False,False,False,False,
308,United Kingdom,2,False,Wilderness PK - Free,False,False,False,False,
309,United Kingdom,2,True,Wintertodt,False,False,False,False,
310,United Kingdom,2,True,Barbarian Assault,False,False,False,False,
311,Germany,3,True,Wintertodt,False,False,False,False,
312,Germany,3,True,,False,False,False,False,
313,United States (west),4,True,,False,False,False,False,
314,United States (east),1,True,Brimhaven Agility Arena,False,False,False,False,
315,United States (west),4,True,,False,False,False,False,
316,United Kingdom,2,False,Wilderness PK -Free,False,False,False,False,
317,United Kingdom,2,True,LMS Competitive,False,False,False,False,
318,United Kingdom,2,True,,False,False,False,False,
319,United States (west),4,True,,False,False,False,False,
320,United States (west),4,True,,False,False,False,False,
321,United States (east),1,True,Sulliuscep cutting,False,False,False,False,
322,United States (east),1,True,,False,False,False,False,
323,United States (west),4,True,Volcanic Mine,False,False,False,False,
324,United States (west),4,False,PVP World,True,False,False,False,
325,United Kingdom,2,False,PVP World,True,False,False,False,
326,United Kingdom,2,False,LMS Competitive,False,False,False,False,
327,Germany,3,True,Ourania Altar,False,False,False,False,
328,Germany,3,True,,False,False,False,False,
329,United States (east),1,True,,False,False,False,False,
330,United States (east),1,True,"House Party, Gilded Altar",False,False,False,False,
331,United States (west),4,True,,False,False,False,False,
332,United States (west),4,True,,False,False,False,False,
333,United Kingdom,2,True,Last Man Standing,False,False,False,False,
334,United Kingdom,2,True,Castle Wars 1,False,False,False,False,
335,Germany,3,False,,False,False,False,False,
336,Germany,3,True,,False,False,False,False,
337,United States (east),1,False,PVP World,True,False,False,False,
338,United States (west),4,True,,False,False,False,False,
339,United States (west),4,True,,False,False,False,False,
340,United States (west),4,True,,False,False,False,False,
341,United Kingdom,2,True,,False,False,False,False,
342,United Kingdom,2,True,Role-playing,False,False,False,False,
343,Germany,3,True,,False,False,False,False,
344,Germany,3,True,Pest Control,False,False,False,False,
345,United States (east),1,False,Deadman,False,False,False,True,
346,United States (east),1,True,Nightmare of Ashihama,False,False,False,False,
347,United States (west),4,True,,False,False,False,False,
348,United States (west),4,True,,False,False,False,False,
349,United Kingdom,2,True,2000 skill total,False,False,False,False,2000
350,United Kingdom,2,True,,False,False,False,False,
351,Germany,3,True,,False,False,False,False,
352,Germany,3,True,Blast Furnace,False,False,False,False,
353,United States (east),1,True,1250 skill total,False,False,False,False,1250
354,United States (east),1,True,Castle Wars 2,False,False,False,False,
355,United States (west),4,True,Blast Furnace,False,False,False,False,
356,United States (west),4,True,Blast Furnace,False,False,False,False,
357,United States (west),4,True,Blast Furnace,False,False,False,False,
358,United Kingdom,2,True,Blast Furnace,False,False,False,False,
359,Germany,3,True,Last Man Standing,False,False,False,False,
360,Germany,3,True,,False,False,False,False,
361,United States (east),1,True,2000 skill total,False,False,False,False,2000
362,United States (east),1,True,TzHaar Fight Pit,False,False,False,False,
363,United Kingdom,2,True,2200 skill total,False,False,False,False,2200
364,United Kingdom,2,True,1250 skill total,False,False,False,False,1250
365,United Kingdom,2,True,High Risk World,False,True,False,False,
366,Germany,2,True,1500 skill total,False,False,False,False,1500
367,Germany,3,True,,False,False,False,False,
368,United States (east),3,True,,False,False,False,False,
369,United States (east),1,True,Wilderness PK - Members,False,False,False,False,
370,United Kingdom,1,True,Fishing Trawler,False,False,False,False,
371,United Kingdom,2,False,PVP World - Free,True,False,False,False,
372,United Kingdom,2,False,750 skill total,False,False,False,False,750
373,United States (west),2,True,1750 skill total,False,False,False,False,1750
374,Germany,4,True,Theatre of Blood,False,False,False,False,
375,Germany,3,True,Zalcano,False,False,False,False,
376,United States (east),3,True,Theatre of Blood,False,False,False,False,
377,United States (west),1,True,"Mort'ton temple, Rat Pits",False,False,False,False,
378,United Kingdom,4,True,Zalcano,False,False,False,False,
379,United Kingdom,2,False,,False,False,False,False,
380,United Kingdom,2,False,,False,False,False,False,
381,United Kingdom,2,False,500 skill total,False,False,False,False,500
382,Germany,2,False,,False,False,False,False,
383,Germany,3,False,Castle Wars - Free,False,False,False,False,
384,United States (east),3,False,Last Man Standing,False,False,False,False,
385,United States (east),1,False,750 skill total,False,False,False,False,750
386,Australia,1,True,Blast Furnace,False,False,False,False,
387,Australia,5,True,Blast Furnace,False,False,False,False,
388,Australia,5,True,Theatre of Blood,False,False,False,False,
389,Australia,5,True,Wintertodt,False,False,False,False,
390,Australia,5,True,LMS Competitive,False,False,False,False,
391,Australia,5,True,1750 skill total,False,False,False,False,1750
392,United States (east),5,False,PvP World,True,False,False,False,
393,United States (east),1,False,Last Man Standing,False,False,False,False,
394,Germany,1,False,Clan Wars - Free,False,False,False,False,
395,Germany,3,True,Blast Furnace,False,False,False,False,
396,Germany,3,True,2000 skill total,False,False,False,False,2000
397,Germany,3,False,,False,False,False,False,
398,Germany,3,False,,False,False,False,False,
399,United States (east),3,False,,False,False,False,False,
400,United States,1,False,,False,False,False,False,
401,United States,6,False,Leagues II,False,False,True,False,
402,United States,6,False,Leagues II,False,False,True,False,
403,United States,6,False,Leagues II,False,False,True,False,
404,Germany,6,False,Leagues II,False,False,True,False,
405,Germany,3,False,Leagues II,False,False,True,False,
406,United Kingdom,3,False,Leagues II,False,False,True,False,
407,United Kingdom,2,False,Leagues II,False,False,True,False,
408,United States,2,False,Leagues II,False,False,True,False,
409,United States,6,False,Leagues II,False,False,True,False,
410,United States,6,False,Leagues II,False,False,True,False,
411,Australia,6,False,Leagues II,False,False,True,False,
412,Germany,5,False,Leagues II,False,False,True,False,
413,Germany,3,False,500 skill total,False,False,False,False,500
414,United States (east),3,False,750 skill total,False,False,False,False,750
415,United States (east),1,True,2200 skill total,False,False,False,False,2200
416,United States (east),1,True,1500 skill total,False,False,False,False,1500
417,United States (west),1,False,,False,False,False,False,
418,United States (west),4,False,,False,False,False,False,
419,United States (west),4,False,500 skill total,False,False,False,False,500
420,United States (west),4,True,1500 skill total,False,False,False,False,1500
421,United States (west),4,True,,False,False,False,False,
422,Australia,4,True,Last Man Standing,False,False,False,False,
424,Australia,5,True,Blast Furnace,False,False,False,False,
425,Australia,5,False,LMS Casual,False,False,False,False,
426,Australia,5,False,,False,False,False,False,
427,United States (west),5,False,500 skill total,False,False,False,False,500
428,United States (west),4,True,2000 skill total,False,False,False,False,2000
429,United States (west),4,True,1250 skill total,False,False,False,False,1250
430,United States (west),4,False,,False,False,False,False,
431,United States (west),4,False,,False,False,False,False,
432,United States (west),4,False,750 skill total,False,False,False,False,750
433,United States (west),4,False,,False,False,False,False,
434,United States (west),4,False,,False,False,False,False,
435,United States (west),4,False,,False,False,False,False,
436,United States (west),4,False,,False,False,False,False,
437,United States (west),4,False,,False,False,False,False,
438,United States (west),4,False,,False,False,False,False,
439,United States (west),4,False,,False,False,False,False,
440,United States (west),4,False,,False,False,False,False,
441,United States (west),4,False,Leagues Vet,False,False,True,False,
443,United States (west),6,True,,False,False,False,False,
444,United States (west),4,True,,False,False,False,False,
445,Germany,4,True,,False,False,False,False,
446,Germany,4,True,Role-playing,False,False,False,False,
447,Germany,3,True,1250 skill total,False,False,False,False,1250
448,Germany,3,True,1500 skill total,False,False,False,False,1500
449,Germany,3,True,1750 skill total,False,False,False,False,1750
450,Germany,3,True,2200 skill total,False,False,False,False,2200
451,Germany,3,False,,False,False,False,False,
452,Germany,3,False,,False,False,False,False,
453,Germany,3,False,,False,False,False,False,
454,Germany,3,False,,False,False,False,False,
455,Germany,3,False,,False,False,False,False,
456,Germany,3,False,,False,False,False,False,
457,Germany,3,False,,False,False,False,False,
458,Germany,3,False,,False,False,False,False,
459,Germany,3,False,,False,False,False,False,
461,Germany,3,False,Leagues Vet,False,False,True,False,
462,Germany,3,False,Leagues II,False,False,True,False,
463,United States (east),3,True,,False,False,False,False,
464,United States (east),3,True,,False,False,False,False,
465,United States (east),3,True,"House Party, Gilded Altar",False,False,False,False,
466,United States (east),3,True,Blast Furnace,False,False,False,False,
467,United States (east),1,True,1750 skill total,False,False,False,False,1750
468,United States (east),1,False,500 skill total,False,False,False,False,500
469,United States (east),1,False,Last Man Standing,False,False,False,False,
470,United States (east),1,False,,False,False,False,False,
471,United States (east),1,False,,False,False,False,False,
472,United States (east),1,False,,False,False,False,False,
473,United States (east),1,False,,False,False,False,False,
474,United States (east),1,False,,False,False,False,False,
475,United States (east),1,False,,False,False,False,False,
476,United States (east),1,False,,False,False,False,False,
477,United States (east),1,True,,False,False,False,False,
478,United States (east),6,True,,False,False,False,False,
479,United Kingdom,6,True,,False,False,False,False,
480,United Kingdom,6,True,,False,False,False,False,
489,United Kingdom,6,True,,False,False,False,False,
490,United Kingdom,6,True,,False,False,False,False,
491,United Kingdom,1,True,Burthorpe Games Room,False,False,False,False,
492,United Kingdom,1,True,LMS Competitive,False,False,False,False,
493,United Kingdom,1,True,Pyramid Plunder,False,False,False,False,
494,United Kingdom,1,True,Blast Furnace,False,False,False,False,
495,United Kingdom,1,True,Blast Furnace,False,False,False,False,
496,United Kingdom,1,True,Blast Furnace,False,False,False,False,
497,United Kingdom,2,False,,False,False,False,False,
498,United Kingdom,2,False,,False,False,False,False,
499,United Kingdom,2,False,,False,False,False,False,
500,United Kingdom,2,False,,False,False,False,False,
501,United Kingdom,2,False,,False,False,False,False,
502,United Kingdom,2,False,,False,False,False,False,
503,United Kingdom,2,False,,False,False,False,False,
504,United Kingdom,2,False,,False,False,False,False,
505,United Kingdom,2,True,,False,False,False,False,
506,United Kingdom,2,True,,False,False,False,False,
507,United Kingdom,2,True,,False,False,False,False,
511,United Kingdom,2,True,,False,False,False,False,
512,Australia,2,True,"House Party, Gilded Altar",False,False,False,False,
513,Australia,2,True,Zeah Runecrafting,False,False,False,False,
514,Australia,2,True,Nightmare of Ashihama,False,False,False,False,
515,Australia,2,True,Blast Furnace,False,False,False,False,
516,Australia,2,True,Blast Furnace,False,False,False,False,
517,Australia,2,True,,False,False,False,False,
518,Australia,2,True,,False,False,False,False,
519,Australia,2,True,,False,False,False,False,
520,Australia,2,True,,False,False,False,False,
521,United Kingdom,2,True,,False,False,False,False,
522,United Kingdom,2,True,,False,False,False,False,
523,United Kingdom,2,True,,False,False,False,False,
524,United Kingdom,2,True,,False,False,False,False,
525,United Kingdom,2,True,,False,False,False,False,
526,United Kingdom,5,True,2200 skill total,False,False,False,False,2200
527,United States,5,True,2000 skill total,False,False,False,False,2000
528,United States,5,True,1500 skill total,False,False,False,False,1500
529,United States,5,True,1250 skill total,False,False,False,False,1250
530,United States,5,False,750 skill total,False,False,False,False,750
531,United States,5,True,,False,False,False,False,
532,United States,5,True,,False,False,False,False,
533,United States,5,True,High Risk World,False,True,False,False,
534,Germany,5,True,,False,False,False,False,
535,Germany,5,True,,False,False,False,False,
536,Australia,5,False,Leagues II,False,False,True,False,
537,Australia,5,False,Leagues II,False,False,True,False,
